year,site,strength_gtex,Jan_mean_dayl.s,Feb_mean_dayl.s,Mar_mean_dayl.s,Apr_mean_dayl.s,May_mean_dayl.s,Jun_mean_dayl.s,Jul_mean_dayl.s,Aug_mean_dayl.s,Sep_mean_dayl.s,Oct_mean_dayl.s,Nov_mean_dayl.s,Dec_mean_dayl.s,Jan_mean_srad.wm2,Feb_mean_srad.wm2,Mar_mean_srad.wm2,Apr_mean_srad.wm2,May_mean_srad.wm2,Jun_mean_srad.wm2,Jul_mean_srad.wm2,Aug_mean_srad.wm2,Sep_mean_srad.wm2,Oct_mean_srad.wm2,Nov_mean_srad.wm2,Dec_mean_srad.wm2,Jan_mean_tmax.c,Feb_mean_tmax.c,Mar_mean_tmax.c,Apr_mean_tmax.c,May_mean_tmax.c,Jun_mean_tmax.c,Jul_mean_tmax.c,Aug_mean_tmax.c,Sep_mean_tmax.c,Oct_mean_tmax.c,Nov_mean_tmax.c,Dec_mean_tmax.c,Jan_mean_tmin.c,Feb_mean_tmin.c,Mar_mean_tmin.c,Apr_mean_tmin.c,May_mean_tmin.c,Jun_mean_tmin.c,Jul_mean_tmin.c,Aug_mean_tmin.c,Sep_mean_tmin.c,Oct_mean_tmin.c,Nov_mean_tmin.c,Dec_mean_tmin.c,Jan_mean_vp.pa,Feb_mean_vp.pa,Mar_mean_vp.pa,Apr_mean_vp.pa,May_mean_vp.pa,Jun_mean_vp.pa,Jul_mean_vp.pa,Aug_mean_vp.pa,Sep_mean_vp.pa,Oct_mean_vp.pa,Nov_mean_vp.pa,Dec_mean_vp.pa,Jan_sum_prcp.mm,Feb_sum_prcp.mm,Mar_sum_prcp.mm,Apr_sum_prcp.mm,May_sum_prcp.mm,Jun_sum_prcp.mm,Jul_sum_prcp.mm,Aug_sum_prcp.mm,Sep_sum_prcp.mm,Oct_sum_prcp.mm,Nov_sum_prcp.mm,Dec_sum_prcp.mm
1980,"Altus, OK",25.3,35872.6,38728.5,42536,46520.5,49829.3,51429.4,50561.3,47608.3,43731.9,39757.3,36480.5,34964.4,242.4,366,391.4,450.4,402.7,427,409.1,396,380.7,378.5,253.4,249.9,10.2,13.8,18.9,24.6,27.9,36.6,40.5,38.1,32.1,26.2,18,14.6,-1.5,-2.3,1.5,7,13.8,21.2,23.7,23.1,18.4,8.2,2.6,-0.5,535.7,528.1,609.9,722.2,1464.5,2536.8,2946.2,2403.8,919.3,631.5,651.8,619,61.6,15.6,29.3,47.8,281.7,20.7,0,13.9,34.9,8.8,14.1,39.8
1980,"Ames Plantation, TN",27.2,35743.3,38650.8,42524.5,46578,49945.8,51575.5,50691.2,47685,43741.1,39697.6,36362.4,34818.2,214.8,322.4,321.7,408.4,397.2,409.3,411.4,400.4,316.2,333.9,223,238.8,9.2,8,13.7,20.8,26.4,30.9,35.8,35,30.6,21.8,15.3,11.3,0.2,-3.3,1.8,7.4,13.6,18.2,22.2,20.8,17.5,6.6,3.2,-1.2,636.2,517,745.3,1052.2,1593.2,2128.1,2590.9,2379.2,2012.3,1033,802.2,607.5,106.6,43.2,319.2,198.7,87.8,66.7,61.2,42,104,82,139.6,29.5
1980,"Artesia, NM",26,36359,39021.5,42579.2,46303.7,49390.8,50880.2,50072.5,47319.5,43697.3,39982.2,36925.1,35514,279.2,385.7,458.9,487.5,484.6,505.4,487.5,445.3,376.3,391.1,281.7,285.7,13.4,17,20.8,24.3,28.9,38.4,38,33.9,29.4,23.5,15.6,16.2,-2.4,-1.2,0.5,4.3,11.1,18.7,20.3,18.3,15.4,5.8,-0.7,-1.6,387,380.7,252.3,343.9,557.8,931.8,959.9,862.4,1318.4,967.2,613.2,523.7,29.8,9,0,28.2,38,7.9,1.6,36.6,192.3,11.3,27.7,2.9
1980,"Auburn, AL",24.8,36420.2,39058.4,42584.6,46276.3,49335.7,50811.1,50011.1,47283.1,43693,40010.5,36981,35583.1,239.5,357.2,325.3,425.3,379.4,415.4,405,396.3,345.9,335.8,264.9,252.5,13.9,13.9,18.3,23.1,27,31.5,34.2,33.9,31.4,22.7,17.8,14.4,2.9,-1.1,4.8,8.7,14.7,18.5,20.9,20.2,18.6,9,4.6,0.4,787.8,619.1,921.5,1156.3,1702.4,2141.1,2476.5,2364,2147.8,1190.4,888.1,644.2,119.4,98.6,330.6,143.8,199.6,68.3,75.1,50,117.9,77.4,86.6,57.9
1980,"Beeville, TX",24.5,37494.3,39708.3,42680.7,45794.8,48366.2,49600.7,48931.9,46642.4,43616,40510,37963.9,36794.5,277,365.3,374.5,474.2,367.7,455.7,433.8,362.3,345.2,362.6,293.4,263.3,19.9,19.9,24.4,27.7,30.6,35.7,38,34.3,33.4,27.9,21.8,19.4,7.2,6.4,11.2,12.7,19.6,23,23.6,23.3,22.2,14.4,8.3,8,1054.8,1005.6,1388.2,1269.6,1997.5,2367.2,2361.7,2842.4,2685,1715.7,1145.9,1141.3,105,39.9,34.8,8.3,125.5,0,58.5,238.8,176.9,10.3,64.2,34
1980,"Belle Mina, AL",28.1,35872.6,38728.5,42536,46520.5,49829.3,51429.4,50561.3,47608.3,43731.9,39757.3,36480.5,34964.4,223.5,336.4,333.1,431.3,388.9,418.8,406.7,388.2,340.6,336.4,230.3,245,9.7,9.2,14.9,22.2,26.6,31,35.1,34.7,31.2,22,16.2,11.9,0.7,-3.2,2.5,7.5,13.9,17.9,21,20,17,6.6,3.4,-1.7,662.4,527.7,783.2,1062.3,1626.4,2084.4,2502.8,2335.3,1969.2,1023.8,815.9,561.5,142.4,49.8,407.6,135.8,202.2,60.7,87.3,94.3,188.4,56.5,135.3,28
1980,"Bossier City, LA",25.9,36450.6,39076.8,42587.3,46262.7,49308.2,50776.8,49980.5,47265,43690.8,40024.7,37008.9,35617.5,221.2,352.5,351.5,412.8,389.3,408.1,425.5,408,338.3,362.1,248.3,262.4,13.2,14.6,18.9,23.8,28.6,33.8,37.6,37,34.3,25.6,18.7,15.7,3.2,0.6,5.3,9.5,16.8,21.4,22.8,22.1,20.5,8.5,4.8,2,797.3,675.1,931,1212.7,1938.1,2577,2768,2345.4,2157.3,1083.4,906.2,754,116.8,94.3,107.9,142.3,128.6,75,32.9,34.8,48.1,75.2,85.9,17.3
1980,"Chickasha, OK",25.9,35759.6,38660.5,42526,46570.8,49931.1,51557.1,50674.9,47675.4,43739.9,39705.1,36377.2,34836.6,244,354.9,373.3,449.2,398.9,419.6,418.8,389.1,359.7,362.1,243.2,249,9.5,12.1,17.4,23.6,27.7,34.9,39.8,37.8,32.2,25.2,17.4,13.8,-1.8,-2.9,1.8,6.9,13.9,21,23.1,22.8,18.4,8,2.9,-0.2,553.8,507.8,639.8,799.5,1503.4,2501.3,2849.7,2504.3,1286.7,810.5,767.5,672.6,44.9,27.6,40.8,52.7,205.5,61,0,11.7,48.6,27.2,24.4,45.7
1980,"Clarkdale, LA",26.1,35678.1,38611.6,42518.8,46607,50004.5,51649.2,50756.8,47723.6,43745.7,39667.6,36302.8,34744.4,264.9,367.7,398.4,537.8,503.4,557.5,485.9,489.6,455.1,361.9,311.3,261.8,5.8,8.9,8,15.2,17,27.2,29,27.5,25.4,18.6,14.2,12,-5.8,-5.9,-6,-3.1,-0.4,5.2,10.2,9.7,5.5,-0.6,-4.6,-4.1,406,408.2,398,498.1,528.1,393.2,536.3,583.2,649.7,464.8,393,382.2,140.5,141.5,70.2,37.5,12.4,6.7,58,8.2,31.4,27.6,0,17.8
1980,"College Station, TX",27.1,36941.2,39373.2,42631.1,46043.2,48865.7,50223.7,49487.6,46972.8,43655.7,40252.4,37457.6,36171,254,362.8,358.6,446.2,361.9,434.6,419.1,435.7,354.7,356.2,269.2,264.7,15.8,17.4,21.3,24.8,28.9,34.8,38,36.9,33.7,26.5,20,17.5,5.6,3.8,7.7,10.9,18.2,22.3,23.3,23.3,21.8,11.7,7.1,5.6,948.3,843.5,1110.1,1340.9,2120.1,2692.6,2740.6,1732.7,1807.1,1360.8,1063.9,971.5,105.2,82,134.8,44.7,162.6,10.7,18.8,6.3,104.1,68.4,87.4,10.8
